datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2013-01-01,sylhet,23.3,8.6,16.0,23.3,7.4,15.8,10.5,72.2,0.0,0,0.0,,,,,9.7,208.2,1013.1,0.0,2.5,171.6,14.8,6,,2013-01-01T06:37:25,2013-01-01T17:14:44,0.63,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-02,sylhet,24.3,10.5,17.2,24.3,10.5,17.2,11.7,72.2,0.0,0,0.0,,,,,11.5,203.8,1012.8,0.0,3.0,176.4,15.2,7,,2013-01-02T06:37:42,2013-01-02T17:15:24,0.67,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-03,sylhet,22.6,11.1,17.0,22.6,11.1,17.0,13.1,79.0,0.0,0,0.0,,,,,13.3,222.9,1014.1,9.8,4.0,130.2,11.4,4,,2013-01-03T06:37:57,2013-01-03T17:16:04,0.7,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-04,sylhet,24.8,13.4,18.1,24.8,13.4,18.1,13.8,77.5,0.0,0,0.0,,,,,8.6,322.1,1014.4,14.8,4.0,160.9,14.1,6,,2013-01-04T06:38:11,2013-01-04T17:16:45,0.74,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-05,sylhet,23.8,11.8,17.2,23.8,11.8,17.2,11.6,71.4,0.0,0,0.0,,,,,8.3,250.3,1012.1,1.0,3.5,163.6,14.0,6,,2013-01-05T06:38:24,2013-01-05T17:17:27,0.75,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-06,sylhet,23.5,8.1,15.8,23.5,8.1,15.8,10.5,72.8,0.0,0,0.0,,,,,9.4,235.1,1013.4,0.0,3.5,160.9,13.9,6,,2013-01-06T06:38:35,2013-01-06T17:18:09,0.81,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-07,sylhet,22.3,8.7,14.9,22.3,7.4,14.8,9.6,72.7,0.0,0,0.0,,,,,11.2,250.5,1013.9,12.7,3.3,157.3,13.5,6,,2013-01-07T06:38:45,2013-01-07T17:18:51,0.84,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-08,sylhet,19.5,6.9,13.0,19.5,5.0,12.6,5.4,62.0,0.0,0,0.0,,,,,11.2,269.3,1014.7,11.4,3.0,178.5,15.4,7,,2013-01-08T06:38:53,2013-01-08T17:19:34,0.88,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-09,sylhet,19.7,4.6,11.3,19.7,2.5,10.6,5.2,69.9,0.0,0,0.0,,,,,11.2,235.8,1015.3,2.9,1.8,193.5,16.6,7,,2013-01-09T06:39:00,2013-01-09T17:20:18,0.91,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-10,sylhet,19.2,4.5,11.4,19.2,2.1,10.8,5.6,70.5,0.0,0,0.0,,,,,10.1,227.6,1014.8,6.6,2.4,160.7,13.9,6,,2013-01-10T06:39:06,2013-01-10T17:21:02,0.95,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
